,RR,accuracy,reassignment,t3,top10,top11,top12,top13,top14,top15,top2,top3,top4,top5,top6,top7,top8,top9
nb_m6_f0_d0_b0_c36_v0,0.48988350274064557,0.3047619047619048,0.8,0.41984126984126985,0.9238095238095239,0.9380952380952381,0.9523809523809523,0.9809523809523809,0.9904761904761905,1.0,0.4714285714285714,0.5666666666666667,0.6761904761904762,0.719047619047619,0.7761904761904762,0.8476190476190476,0.8666666666666667,0.8904761904761904
lrr_m6_f0_d0_b0_c36_v0,0.5038646010074581,0.3333333333333333,0.7666666666666666,0.4373015873015873,0.919047619047619,0.9428571428571428,0.9619047619047619,0.9714285714285714,0.9809523809523809,1.0,0.48095238095238096,0.5714285714285714,0.6523809523809524,0.7238095238095238,0.7523809523809524,0.8047619047619048,0.8714285714285714,0.8952380952380953
svm_m6_f0_d0_b0_c36_v0,0.4767392131677846,0.2714285714285714,0.8,0.4126984126984127,0.919047619047619,0.9476190476190476,0.9619047619047619,0.9666666666666667,0.9809523809523809,1.0,0.44761904761904764,0.5857142857142857,0.6476190476190476,0.719047619047619,0.780952380952381,0.8285714285714286,0.8761904761904762,0.919047619047619
nb_m7_f0_d0_b0_c36_v0,0.5679063264777551,0.38095238095238093,0.8333333333333334,0.5190476190476191,0.9571428571428572,0.9666666666666667,0.9761904761904762,0.9809523809523809,0.9857142857142858,1.0,0.5714285714285714,0.7,0.7476190476190476,0.8142857142857143,0.8666666666666667,0.9095238095238095,0.9285714285714286,0.9476190476190476
lrr_m7_f0_d0_b0_c36_v0,0.6054952587095445,0.4142857142857143,0.8666666666666667,0.5642857142857143,0.9571428571428572,0.9619047619047619,0.9761904761904762,0.9761904761904762,0.9952380952380953,1.0,0.6571428571428571,0.7428571428571429,0.7952380952380952,0.8238095238095238,0.8714285714285714,0.9142857142857143,0.9380952380952381,0.9523809523809523
svm_m7_f0_d0_b0_c36_v0,0.45158876837448264,0.24761904761904763,0.8666666666666667,0.3746031746031746,0.9047619047619048,0.9333333333333333,0.9666666666666667,0.9904761904761905,0.9904761904761905,1.0,0.41904761904761906,0.5142857142857142,0.6,0.6857142857142857,0.7666666666666667,0.8142857142857143,0.8571428571428571,0.8714285714285714
nb_m8_f0_d0_b0_c36_v0,0.5462925698639984,0.35714285714285715,0.8333333333333334,0.4865079365079365,0.9714285714285714,0.9809523809523809,0.9809523809523809,0.9857142857142858,0.9952380952380953,1.0,0.5523809523809524,0.6476190476190476,0.7285714285714285,0.7904761904761904,0.8476190476190476,0.9047619047619048,0.9238095238095239,0.9333333333333333
lrr_m8_f0_d0_b0_c36_v0,0.5738777228062942,0.3904761904761905,0.8,0.5214285714285715,0.9714285714285714,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9809523809523809,1.0,0.5761904761904761,0.6904761904761905,0.7571428571428571,0.819047619047619,0.8809523809523809,0.9,0.9428571428571428,0.9523809523809523
svm_m8_f0_d0_b0_c36_v0,0.4465477908335051,0.2523809523809524,0.8,0.37142857142857144,0.9285714285714286,0.9333333333333333,0.9571428571428572,0.9571428571428572,0.9857142857142858,1.0,0.4380952380952381,0.5238095238095238,0.6,0.680952380952381,0.7666666666666667,0.8333333333333334,0.861904761904762,0.9
nb_m9_f0_d0_b0_c36_v0,0.5950399071827643,0.41904761904761906,0.8333333333333334,0.546031746031746,0.9523809523809523,0.9666666666666667,0.9761904761904762,0.9809523809523809,0.9809523809523809,1.0,0.6,0.7095238095238096,0.7761904761904762,0.8428571428571429,0.8857142857142857,0.9095238095238095,0.919047619047619,0.9380952380952381
lrr_m9_f0_d0_b0_c36_v0,0.5819067044067044,0.3904761904761905,0.8333333333333334,0.5365079365079365,0.9571428571428572,0.9666666666666667,0.9714285714285714,0.9761904761904762,0.9857142857142858,1.0,0.5904761904761905,0.7285714285714285,0.780952380952381,0.8571428571428571,0.8857142857142857,0.9142857142857143,0.9285714285714286,0.9571428571428572
svm_m9_f0_d0_b0_c36_v0,0.456561507275793,0.24761904761904763,0.8,0.38492063492063494,0.9238095238095239,0.9380952380952381,0.9571428571428572,0.9857142857142858,0.9857142857142858,1.0,0.4380952380952381,0.5428571428571428,0.6285714285714286,0.6952380952380952,0.7428571428571429,0.8285714285714286,0.8571428571428571,0.8952380952380953
nb_m10_f0_d0_b0_c36_v0,0.5181790035361464,0.3380952380952381,0.7666666666666666,0.46825396825396826,0.9285714285714286,0.9619047619047619,0.9761904761904762,0.9857142857142858,0.9952380952380953,1.0,0.5,0.6476190476190476,0.6761904761904762,0.719047619047619,0.780952380952381,0.819047619047619,0.861904761904762,0.9047619047619048
lrr_m10_f0_d0_b0_c36_v0,0.5295295181009466,0.34285714285714286,0.7666666666666666,0.4746031746031746,0.919047619047619,0.9523809523809523,0.9619047619047619,0.9809523809523809,0.9904761904761905,1.0,0.5523809523809524,0.6333333333333333,0.7047619047619048,0.7476190476190476,0.7857142857142857,0.8095238095238095,0.8380952380952381,0.8809523809523809
