problem_type,creative,outdoors,career,group_work,liked_courses,disliked_courses,join_clubs,not_clubs,liked_projects,disliked_projects,alternate_degree,expensive_equipment,drawing,essay,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
2,0,1,5,2,10,3,8,1,0,6,12,2,1,2,0,0,0,0,0,0,0,0,7
2,2,1,6,1,8,7,1,0,5,2,2,2,2,1,0,0,0,0,0,0,0,0,-1
2,0,0,4,2,8,6,0,2,3,1,3,0,2,1,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,1,6,4,8,1,5,8,0,2,0,0,0,0,0,0,0,0,0,7
0,2,2,5,1,8,7,8,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,8,5,8,1,1,3,5,0,2,2,0,0,0,0,0,0,0,0,7
2,2,1,4,2,4,7,5,8,4,3,2,0,0,0,0,0,0,0,0,0,0,1,-1
1,2,1,6,2,3,2,8,2,3,6,8,0,2,2,0,0,0,0,0,0,0,0,-1
2,2,0,4,1,4,1,5,0,6,0,2,0,0,1,0,0,0,0,0,0,0,1,-1
0,1,2,0,0,1,7,4,1,3,5,0,0,0,1,0,0,0,0,0,0,0,0,7
0,2,0,6,1,4,7,7,0,5,6,2,2,2,1,0,0,0,0,0,0,0,0,-1
0,2,1,4,2,4,7,5,3,6,2,2,2,2,1,0,0,0,0,0,0,0,0,-1
0,0,1,5,2,8,7,0,7,1,6,0,0,2,0,0,0,0,0,0,0,0,0,7
2,2,2,5,1,3,7,8,5,1,4,5,0,0,1,0,0,0,0,0,0,0,0,7
2,2,1,2,2,9,10,7,0,1,6,2,2,2,0,0,0,0,0,0,0,0,0,-1
2,2,2,2,1,8,7,4,0,1,4,11,2,0,0,0,0,0,0,0,0,0,0,7
2,2,0,4,2,4,1,1,0,4,2,2,2,0,2,0,0,0,0,0,0,0,0,-1
2,0,1,2,2,9,7,1,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,-1
0,0,1,5,2,10,3,0,8,2,4,3,0,2,1,0,0,0,0,0,0,0,0,7
2,1,1,6,1,3,1,7,8,1,2,2,2,0,0,0,0,0,0,0,0,0,1,-1
2,2,1,2,1,4,1,7,2,3,6,2,0,2,0,0,0,0,0,0,0,0,0,-1
0,2,1,4,2,2,6,3,4,5,0,2,0,2,1,0,0,0,0,0,0,0,0,-1
0,0,0,1,1,8,6,4,3,4,1,8,0,1,1,0,0,0,0,0,0,0,0,-1
0,1,2,0,0,1,7,4,1,3,5,0,0,0,1,0,0,0,0,0,0,0,0,7
0,2,1,5,2,3,2,4,2,1,6,0,2,2,0,0,0,0,0,0,1,0,0,7
2,2,1,3,1,9,0,4,5,2,5,5,0,2,1,0,0,0,0,0,0,0,0,7
0,1,2,5,2,8,6,4,8,1,5,1,0,0,0,0,0,0,0,0,0,0,0,7
0,2,1,2,1,8,6,4,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,-1
2,2,0,4,1,8,3,3,1,4,0,2,2,0,2,0,0,0,0,0,0,0,0,-1
0,2,2,5,1,8,5,4,8,3,5,8,2,0,2,0,0,0,0,0,0,0,0,7
2,2,1,5,2,9,1,4,2,2,4,2,0,2,1,0,0,0,0,0,0,0,0,7
0,0,2,4,2,3,10,7,0,4,1,9,2,2,2,0,0,0,0,0,0,0,1,-1
2,2,1,5,2,1,9,8,1,0,3,5,0,2,2,0,0,0,0,0,0,0,0,7
2,2,2,5,2,5,10,4,0,1,4,11,0,0,1,0,0,0,0,0,1,0,0,7
2,0,2,5,2,10,1,0,8,0,3,14,2,1,1,0,0,0,0,0,0,0,0,-1
2,0,1,6,1,9,2,7,0,5,6,8,2,2,2,0,0,0,0,0,0,0,0,-1
1,0,1,1,2,8,4,0,8,1,6,0,2,1,2,0,0,0,0,0,0,0,0,-1
2,0,2,5,2,3,7,4,3,1,5,5,0,0,1,0,0,0,0,0,1,0,0,7
0,1,2,5,1,1,4,8,5,2,5,8,0,2,0,0,0,0,0,0,0,0,0,7
2,0,1,3,2,8,3,4,5,2,6,12,0,2,2,0,0,0,0,0,0,0,0,7
2,2,2,5,1,1,7,4,2,1,5,0,0,2,1,0,0,0,0,0,1,0,0,7
0,0,2,5,1,9,5,8,2,1,4,0,0,2,2,0,0,0,0,0,1,0,0,7
0,1,1,3,1,8,6,5,0,4,1,11,0,2,1,0,0,0,0,0,0,0,0,-1
2,2,2,6,1,8,7,4,0,1,4,11,2,2,1,0,0,0,0,0,0,0,0,7
2,0,2,0,2,8,6,8,0,1,3,5,2,2,2,0,0,0,0,0,0,0,0,7
1,2,2,5,2,8,0,8,0,6,3,11,0,0,0,0,0,0,0,0,0,0,0,-1
2,2,1,4,2,4,10,5,0,6,0,2,0,0,2,0,0,0,0,0,0,0,0,-1
2,2,2,5,2,3,1,4,3,1,2,5,0,2,1,0,0,0,0,0,0,0,0,7
0,2,1,5,2,1,5,8,2,0,6,5,0,1,0,0,0,0,0,0,0,0,0,-1
2,2,2,5,2,3,1,4,3,1,2,5,0,2,1,0,0,0,0,0,0,0,0,7
0,0,2,5,1,8,6,4,7,1,5,5,0,1,2,0,0,0,0,0,1,0,0,7
0,2,1,0,2,10,8,0,7,2,5,0,0,1,1,1,0,0,0,0,0,0,0,-1
2,2,2,5,2,9,7,8,2,1,5,5,2,0,1,0,0,0,0,0,1,0,0,7
2,2,1,5,1,9,2,4,0,0,3,8,0,1,1,0,0,0,0,0,1,0,0,-1
2,2,2,6,1,9,10,4,5,2,5,0,0,2,2,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,6,7,4,5,0,6,8,0,2,2,0,0,0,0,0,0,0,0,7
0,1,1,0,1,8,10,1,0,4,3,1,2,0,1,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,1,9,8,1,0,3,5,0,2,2,0,0,0,0,0,0,0,0,7
2,0,2,5,1,9,6,4,2,1,6,5,0,2,1,0,0,0,0,0,0,0,0,7
2,0,2,5,1,3,4,0,5,1,4,9,0,2,0,0,0,0,0,0,0,0,0,7
2,2,2,5,2,3,7,4,8,1,6,5,0,2,1,0,0,0,0,0,0,0,0,7
0,2,1,3,2,8,6,7,2,3,0,11,2,1,0,0,0,0,0,0,0,0,0,-1
0,2,1,2,2,9,5,7,8,2,6,3,2,2,2,0,0,0,0,0,0,0,0,-1
2,0,2,0,1,10,4,7,5,1,6,1,0,1,0,0,0,0,0,0,0,0,0,-1
2,2,1,5,1,8,10,1,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,7
0,1,2,5,2,8,6,4,8,1,5,1,0,0,0,0,0,0,0,0,0,0,0,7
2,2,2,2,2,8,7,7,2,1,6,14,0,0,1,0,0,0,0,0,1,0,0,-1
0,2,2,5,1,9,7,4,2,1,6,0,2,1,1,0,0,0,0,0,1,0,0,7
2,2,2,5,1,9,7,4,2,1,6,5,1,0,0,0,0,0,0,0,1,0,0,7
0,0,1,5,2,8,7,0,7,1,6,0,0,2,0,0,0,0,0,0,0,0,0,7
