problem_type,creative,outdoors,career,group_work,liked_courses,disliked_courses,join_clubs,not_clubs,liked_projects,disliked_projects,tv_shows,alternate_degree,expensive_equipment,drawing,essay,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
2,2,2,2,1,9,7,7,8,1,2,1,2,2,0,2,0,0,0,0,0,0,0,0,-1
0,0,1,0,1,10,3,7,2,3,6,5,14,0,1,2,1,0,0,0,0,0,0,0,-1
2,0,1,3,2,7,0,6,1,6,0,1,10,0,0,2,0,0,0,0,0,0,0,0,-1
0,2,1,5,1,9,4,4,8,0,6,5,0,0,2,1,0,0,0,0,0,1,0,0,-1
0,0,2,5,1,9,5,8,2,1,4,5,0,0,2,2,0,0,0,0,0,1,0,0,7
0,2,1,3,2,4,4,5,2,3,6,5,2,2,1,1,0,0,0,0,0,0,0,0,-1
2,2,2,5,2,3,2,4,1,1,2,2,11,0,2,0,0,0,0,0,0,0,0,0,7
2,2,1,4,1,9,7,7,0,4,3,0,2,2,2,1,0,0,0,0,0,0,0,1,-1
2,2,2,5,2,9,7,4,0,1,6,0,1,2,2,2,0,0,0,1,0,0,0,0,-1
0,1,2,5,1,1,4,8,5,2,5,5,8,0,2,0,0,0,0,0,0,0,0,0,7
2,2,2,5,1,7,1,0,8,1,6,2,12,1,2,2,0,0,0,0,0,0,0,0,7
2,0,1,4,2,8,6,0,2,4,0,2,8,0,1,1,0,0,0,0,0,0,0,0,-1
2,0,2,5,2,5,6,4,8,1,6,5,7,2,2,0,0,0,0,0,0,0,0,0,-1
0,1,1,0,2,8,3,8,5,3,4,1,8,0,1,0,0,0,0,1,0,0,0,0,-1
0,2,0,5,1,8,1,8,5,2,5,0,5,1,2,0,0,0,0,0,0,0,0,0,-1
2,0,1,6,2,1,7,7,1,3,5,5,0,2,2,1,0,0,0,0,0,0,0,0,-1
0,1,1,3,1,8,6,5,0,4,1,4,11,0,2,1,0,0,0,0,0,0,0,0,-1
1,2,0,4,2,7,10,1,8,6,2,1,2,2,0,2,0,0,0,0,0,0,0,0,-1
2,0,1,5,2,10,3,8,1,0,6,0,12,2,1,2,0,0,0,0,0,0,0,0,7
2,2,2,5,1,8,10,7,0,1,6,5,11,0,2,1,0,0,0,0,0,0,0,0,-1
0,2,2,5,1,7,8,4,1,0,3,5,0,2,2,1,0,0,0,0,0,1,0,0,7
0,2,1,5,2,9,6,4,1,1,6,2,9,2,2,1,0,0,0,0,0,0,0,0,7
0,2,1,5,2,8,7,5,0,6,3,0,2,1,0,1,0,0,0,0,0,0,0,0,-1
2,2,2,5,1,9,7,4,2,1,6,4,5,1,0,0,0,0,0,0,0,1,0,0,7
2,2,2,5,1,3,10,4,8,1,3,5,2,2,0,1,0,0,0,0,0,1,0,0,7
2,0,2,6,2,9,5,1,8,2,6,4,8,2,1,2,0,0,0,0,1,0,0,0,-1
2,2,2,5,1,4,7,4,0,1,3,0,0,2,2,0,0,0,0,0,0,0,0,0,-1
2,2,0,3,2,8,7,1,0,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,-1
2,0,1,6,2,8,7,7,0,1,3,4,11,2,2,0,0,0,0,0,0,0,0,1,-1
2,0,1,5,2,3,5,8,5,1,6,5,0,0,2,2,0,0,0,0,0,0,0,0,7
2,2,0,2,1,9,2,7,8,4,2,5,0,2,2,0,0,0,0,0,0,0,0,0,-1
2,2,2,5,2,3,7,4,8,1,6,4,5,0,2,1,0,0,0,0,0,0,0,0,7
0,2,1,0,2,1,8,7,2,2,5,2,7,0,2,0,0,0,0,0,0,1,0,0,7
0,1,2,0,0,1,7,4,1,3,5,5,0,0,0,1,0,0,0,0,0,0,0,0,7
2,2,1,5,2,8,5,8,1,1,3,3,5,0,2,2,0,0,0,0,0,0,0,0,7
0,2,2,5,1,9,7,4,2,1,6,5,0,2,1,1,0,0,0,0,0,1,0,0,7
0,0,1,5,2,10,3,0,8,2,4,5,3,0,2,1,0,0,0,0,0,0,0,0,7
2,0,1,6,2,9,5,0,2,3,6,3,0,0,1,0,0,0,0,0,0,0,0,0,-1
2,2,1,6,1,9,6,5,0,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,8,7,8,0,2,6,5,5,1,0,1,0,0,0,0,0,1,0,0,7
0,2,2,5,1,8,9,4,5,1,6,6,12,2,0,1,0,0,0,0,0,0,0,0,7
0,0,2,5,1,8,6,4,7,1,5,5,5,0,1,2,0,0,0,0,0,1,0,0,7
2,2,1,3,1,9,7,6,1,6,5,1,6,0,2,0,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,1,6,4,8,1,5,2,8,0,2,0,0,0,0,0,0,0,0,0,7
2,2,2,5,1,8,9,4,5,1,4,1,13,0,2,1,0,0,0,0,0,1,0,0,7
2,2,1,5,2,8,6,4,2,0,6,5,10,0,0,1,0,0,0,0,0,1,0,0,7
2,2,1,5,2,9,6,0,8,1,4,0,5,2,2,0,0,0,0,0,0,1,0,0,7
0,0,1,0,1,10,9,0,2,2,1,3,14,2,1,1,1,0,0,0,0,0,0,0,-1
0,0,1,4,2,4,1,7,0,5,2,6,2,2,1,0,0,0,0,0,0,0,0,1,-1
2,0,2,5,1,9,6,4,2,1,6,5,5,0,2,1,0,0,0,0,0,0,0,0,7
2,2,1,5,2,9,1,4,2,2,4,1,2,0,2,1,0,0,0,0,0,0,0,0,7
2,2,2,5,2,3,7,4,0,1,3,5,6,2,2,0,0,0,0,0,0,0,0,0,-1
2,2,1,4,2,9,7,7,8,1,3,1,4,0,2,1,0,0,0,0,0,0,0,0,-1
2,2,2,5,1,10,2,0,3,2,6,2,2,0,1,0,0,0,0,0,0,0,0,0,7
0,2,1,2,1,8,7,7,0,3,6,0,2,2,2,1,0,0,0,0,0,0,0,0,-1
1,0,1,5,2,10,3,4,1,2,4,4,5,2,1,2,0,0,0,0,0,0,0,0,-1
2,2,2,5,2,3,1,4,3,1,2,0,5,0,2,1,0,0,0,0,0,0,0,0,7
2,2,2,5,1,3,7,8,5,1,4,0,5,0,0,1,0,0,0,0,0,0,0,0,7
2,2,2,6,1,8,7,4,0,1,4,4,11,2,2,1,0,0,0,0,0,0,0,0,7
2,2,1,3,2,3,2,7,2,1,5,5,11,0,1,2,0,0,0,0,0,0,0,0,-1
2,1,0,3,2,9,5,3,0,2,3,0,11,1,0,0,0,0,0,0,0,0,0,0,-1
0,1,2,0,0,1,7,4,1,3,5,5,0,0,0,1,0,0,0,0,0,0,0,0,7
0,1,2,5,1,8,7,4,0,1,5,2,11,0,0,0,0,0,0,0,0,0,0,0,7
0,0,1,2,1,3,5,7,2,1,3,4,0,2,2,2,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,10,7,4,5,0,4,2,8,0,2,1,0,0,0,0,0,0,0,0,7
2,2,1,1,0,8,2,7,2,1,2,1,11,0,0,1,0,0,0,0,0,0,0,0,-1
